Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_2000,N_N_1,1,1301620,5.000,21697,28,0,0
200_2000,N_N_1,2,1293221,5.018,21137,33,2,0
200_2000,N_N_1,3,1302092,5.000,21192,28,0,0
200_2000,N_N_1,4,1285094,5.015,21502,29,0,0
200_2000,N_N_1,5,1263344,5.000,21677,27,1,0
200_2000,N_N_1,6,1281797,5.000,21213,31,0,0
200_2000,N_N_1,7,1295074,5.000,21609,28,0,0
200_2000,N_N_1,8,1276511,5.000,21203,34,2,0
200_2000,N_N_1,9,1308218,5.016,20884,37,0,0
200_2000,N_N_1,10,1364496,5.000,20082,43,1,0
200_2000,N_N_2,1,1303170,5.007,18624,50,3,0
200_2000,N_N_2,2,1281572,5.000,19274,42,1,0
200_2000,N_N_2,3,1284681,5.000,18904,48,3,0
200_2000,N_N_2,4,1284229,5.001,19710,41,1,0
200_2000,N_N_2,5,1293040,5.000,18507,51,2,0
200_2000,N_N_2,6,1269252,5.000,19420,43,1,0
200_2000,N_N_2,7,1274241,5.000,19746,43,1,0
200_2000,N_N_2,8,1265348,5.000,19296,43,1,0
200_2000,N_N_2,9,1295417,5.012,18475,52,2,0
200_2000,N_N_2,10,1272496,5.000,19885,43,3,0
200_2000,N_N_3,1,502102,5.000,15377,79,8,0
200_2000,N_N_3,2,501659,5.000,15936,75,9,0
200_2000,N_N_3,3,502066,5.000,14624,85,7,0
